ISO3,name,value,sign
RWA,Rwanda,0.051293875,1
KNA,Saint Kitts and Nevis,#N/A,#N/A
LCA,Saint Lucia,0.018914582,1
VCT,St Vincent & Grenadines,#N/A,#N/A
WSM,Samoa,0.021500592,1
SMR,San Marino,#N/A,#N/A
STP,Sao Tome & Principe,0.027613209,1
SAU,Saudi Arabia,0.03307359,1
SEN,Senegal,-0.00128331,-1
SRB,Serbia,0.035293623,1
SYC,Seychelles,#N/A,#N/A
SLE,Sierra Leone,0.024772202,1
SGP,Singapore,#N/A,#N/A
SVK,Slovakia,0.011040906,0
SVN,Slovenia,0.013089946,0
SLB,Solomon Islands,#N/A,#N/A
SOM,Somalia,#N/A,#N/A
ZAF,South Africa,-0.01243317,-1
ESP,Spain,0.006560036,0
LKA,Sri Lanka,#N/A,#N/A
SDN,Sudan,#N/A,#N/A
SUR,Suriname,0.014038001,0
SWZ,Swaziland,0.013116052,0
SWE,Sweden,0.008218602,0
CHE,Switzerland,0.014808142,1
SYR,Syria,0.026424992,1
TJK,Tajikistan,0.02865992,1
TZA,Tanzania,0.023630809,1
THA,Thailand,0.01045772,0
TLS,Timor-Leste,#N/A,#N/A
TGO,Togo,0.023786504,1
TON,Tonga,0.001059281,0
TTO,Trinidad & Tobago,-0.006920697,-1
TUN,Tunisia,0.011321451,0
TUR,Turkey,0.035100797,1
TKM,Turkmenistan,#N/A,#N/A
TUV,Tuvalu,#N/A,#N/A
UGA,Uganda,0.009149071,0
UKR,Ukraine,-0.027575057,-1
ARE,United Arab Emirates,0.030713749,1
GBR,United Kingdom,-0.021120144,-1
USA,United States,-0.004293235,-1
URY,Uruguay,0.051196391,1
UZB,Uzbekistan,0.033195338,1
VUT,Vanuatu,0.009306235,0
VEN,Venezuela,-0.015045684,-1
VNM,Viet Nam,0.032682301,1
YEM,Yemen,-0.00592359,-1
ZMB,Zambia,0.038884222,1
ZWE,Zimbabwe,-0.048527528,-1
