ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GIN,0.736842105,0.763157895,0.657894737,0.763157895,0.657894737,0.868421053,0.605263158,0.710526316,0.763157895,0.763157895,0.894736842,0.736842105,0.763157895,0.868421053,0.684210526,0.5
GNB,0.526315789,0.526315789,0.421052632,0.684210526,0.605263158,0.868421053,0.605263158,0.710526316,0.710526316,0.736842105,0.868421053,0.789473684,0.736842105,0.815789474,0.684210526,0.5
GUY,0.736842105,0.763157895,0.684210526,0.736842105,0.631578947,0.894736842,0.631578947,0.763157895,0.736842105,0.815789474,0.868421053,0.763157895,0.736842105,0.815789474,0.684210526,0.5
HTI,0.710526316,0.710526316,0.605263158,0.736842105,0.631578947,0.894736842,0.631578947,0.710526316,0.710526316,0.736842105,0.842105263,0.763157895,0.736842105,0.815789474,0.684210526,0.5
HND,0.710526316,0.789473684,0.657894737,0.763157895,0.657894737,0.894736842,0.657894737,0.736842105,0.736842105,0.763157895,0.842105263,0.763157895,0.736842105,0.842105263,0.684210526,0.315789474
HUN,0.710526316,0.710526316,0.657894737,0.763157895,0.631578947,0.868421053,0.657894737,0.763157895,0.763157895,0.763157895,0.894736842,0.789473684,0.789473684,0.868421053,0.684210526,0.315789474
ISL,0.552631579,0.736842105,0.657894737,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.736842105,0.789473684,0.921052632,0.789473684,0.789473684,0.868421053,0.684210526,0.473684211
IND,0.736842105,0.763157895,0.657894737,0.736842105,0.657894737,0.894736842,0.657894737,0.763157895,0.736842105,0.789473684,0.921052632,0.789473684,0.789473684,0.842105263,0.684210526,0.526315789
IDN,0.763157895,0.763157895,0.631578947,0.736842105,0.657894737,0.868421053,0.684210526,0.763157895,0.789473684,0.789473684,0.894736842,0.789473684,0.789473684,0.868421053,0.710526316,0.5
IRN,0.736842105,0.736842105,0.605263158,0.736842105,0.605263158,0.842105263,0.631578947,0.736842105,0.736842105,0.736842105,0.842105263,0.763157895,0.736842105,0.763157895,0.657894737,0.447368421
IRQ,0.605263158,0.684210526,0.526315789,0.657894737,0.578947368,0.842105263,0.552631579,0.552631579,0.5,0.552631579,0.605263158,0.526315789,0.5,0.605263158,0.473684211,0.289473684
IRL,0.710526316,0.736842105,0.631578947,0.736842105,0.631578947,0.842105263,0.631578947,0.736842105,0.736842105,0.736842105,0.842105263,0.736842105,0.763157895,0.842105263,0.657894737,0.473684211
ISR,0.710526316,0.736842105,0.605263158,0.736842105,0.631578947,0.868421053,0.605263158,0.736842105,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.842105263,0.657894737,0.473684211
ITA,0.684210526,0.736842105,0.631578947,0.736842105,0.631578947,0.842105263,0.605263158,0.710526316,0.736842105,0.736842105,0.815789474,0.736842105,0.736842105,0.789473684,0.657894737,0.473684211
JAM,0.736842105,0.736842105,0.605263158,0.736842105,0.631578947,0.894736842,0.631578947,0.789473684,0.763157895,0.815789474,0.868421053,0.736842105,0.736842105,0.842105263,0.684210526,0.315789474
JPN,0.763157895,0.736842105,0.631578947,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.763157895,0.763157895,0.894736842,0.789473684,0.789473684,0.842105263,0.684210526,0.5
JOR,0.736842105,0.763157895,0.657894737,0.710526316,0.631578947,0.842105263,0.605263158,0.763157895,0.763157895,0.789473684,0.921052632,0.789473684,0.789473684,0.868421053,0.684210526,0.5
KAZ,0.605263158,0.578947368,0.578947368,0.736842105,0.657894737,0.868421053,0.631578947,0.736842105,0.763157895,0.789473684,0.894736842,0.815789474,0.789473684,0.868421053,0.710526316,0.5
KEN,0.710526316,0.736842105,0.631578947,0.763157895,0.631578947,0.894736842,0.631578947,0.736842105,0.736842105,0.789473684,0.894736842,0.763157895,0.736842105,0.815789474,0.710526316,0.5
KIR,0.447368421,0.394736842,0.394736842,0.473684211,0.394736842,0.605263158,0.394736842,0.5,0.5,0.5,0.605263158,0.5,0.5,0.657894737,0.657894737,0.473684211
PRK,0.5,0.526315789,0.421052632,0.526315789,0.421052632,0.684210526,0.394736842,0.526315789,0.5,0.526315789,0.552631579,0.473684211,0.447368421,0.473684211,0.394736842,0.236842105
KOR,0.710526316,0.710526316,0.631578947,0.710526316,0.631578947,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.868421053,0.763157895,0.763157895,0.842105263,0.657894737,0.289473684
KWT,0.710526316,0.763157895,0.631578947,0.710526316,0.631578947,0.842105263,0.605263158,0.710526316,0.736842105,0.763157895,0.815789474,0.710526316,0.710526316,0.789473684,0.631578947,0.473684211
KGZ,0.552631579,0.552631579,0.631578947,0.763157895,0.657894737,0.894736842,0.657894737,0.736842105,0.736842105,0.763157895,0.868421053,0.789473684,0.763157895,0.842105263,0.710526316,0.315789474
LAO,0.710526316,0.710526316,0.631578947,0.736842105,0.631578947,0.894736842,0.631578947,0.763157895,0.763157895,0.763157895,0.894736842,0.815789474,0.789473684,0.868421053,0.684210526,0.315789474
LVA,0.684210526,0.736842105,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.763157895,0.763157895,0.789473684,0.894736842,0.789473684,0.789473684,0.868421053,0.684210526,0.5
LBN,0.710526316,0.789473684,0.605263158,0.710526316,0.657894737,0.842105263,0.605263158,0.710526316,0.710526316,0.736842105,0.868421053,0.763157895,0.763157895,0.815789474,0.710526316,0.5
LSO,0.684210526,0.763157895,0.631578947,0.736842105,0.657894737,0.921052632,0.657894737,0.736842105,0.736842105,0.763157895,0.868421053,0.763157895,0.736842105,0.815789474,0.684210526,0.5
LBR,0.473684211,0.5,0.394736842,0.526315789,0.447368421,0.736842105,0.447368421,0.526315789,0.526315789,0.526315789,0.631578947,0.526315789,0.552631579,0.789473684,0.684210526,0.5
LBY,0.684210526,0.657894737,0.578947368,0.684210526,0.631578947,0.868421053,0.631578947,0.710526316,0.710526316,0.710526316,0.789473684,0.710526316,0.710526316,0.763157895,0.657894737,0.289473684
LIE,0.210526316,0.236842105,0.210526316,0.342105263,0.236842105,0.394736842,0.236842105,0.342105263,0.368421053,0.368421053,0.368421053,0.394736842,0.394736842,0.421052632,0.342105263,0.184210526
LTU,0.631578947,0.684210526,0.578947368,0.710526316,0.605263158,0.789473684,0.605263158,0.710526316,0.710526316,0.736842105,0.842105263,0.763157895,0.763157895,0.789473684,0.657894737,0.473684211
LUX,0.684210526,0.736842105,0.631578947,0.736842105,0.631578947,0.894736842,0.657894737,0.763157895,0.763157895,0.763157895,0.842105263,0.736842105,0.736842105,0.815789474,0.684210526,0.5
MDG,0.763157895,0.763157895,0.657894737,0.736842105,0.657894737,0.894736842,0.657894737,0.736842105,0.736842105,0.789473684,0.868421053,0.763157895,0.763157895,0.842105263,0.710526316,0.5
MWI,0.736842105,0.736842105,0.605263158,0.710526316,0.631578947,0.894736842,0.631578947,0.736842105,0.763157895,0.789473684,0.868421053,0.789473684,0.763157895,0.815789474,0.684210526,0.5
MYS,0.763157895,0.763157895,0.631578947,0.763157895,0.684210526,0.894736842,0.684210526,0.736842105,0.789473684,0.789473684,0.894736842,0.789473684,0.763157895,0.842105263,0.684210526,0.315789474
MDV,0.5,0.473684211,0.421052632,0.526315789,0.421052632,0.631578947,0.447368421,0.526315789,0.552631579,0.552631579,0.657894737,0.526315789,0.526315789,0.763157895,0.657894737,0.5
MLI,0.710526316,0.789473684,0.657894737,0.763157895,0.657894737,0.894736842,0.657894737,0.736842105,0.736842105,0.789473684,0.894736842,0.763157895,0.763157895,0.842105263,0.710526316,0.5
MLT,0.736842105,0.736842105,0.631578947,0.736842105,0.605263158,0.868421053,0.631578947,0.736842105,0.736842105,0.763157895,0.842105263,0.710526316,0.736842105,0.842105263,0.657894737,0.473684211
MHL,0.394736842,0.368421053,0.342105263,0.421052632,0.368421053,0.552631579,0.368421053,0.447368421,0.473684211,0.447368421,0.526315789,0.447368421,0.447368421,0.526315789,0.447368421,0.263157895
MRT,0.631578947,0.684210526,0.552631579,0.684210526,0.578947368,0.815789474,0.631578947,0.710526316,0.710526316,0.763157895,0.868421053,0.763157895,0.789473684,0.842105263,0.684210526,0.473684211
MUS,0.605263158,0.578947368,0.473684211,0.710526316,0.657894737,0.894736842,0.657894737,0.763157895,0.736842105,0.763157895,0.921052632,0.789473684,0.789473684,0.868421053,0.657894737,0.5
MEX,0.710526316,0.736842105,0.631578947,0.736842105,0.657894737,0.868421053,0.605263158,0.736842105,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.842105263,0.657894737,0.5
FSM,0.394736842,0.368421053,0.342105263,0.421052632,0.368421053,0.526315789,0.342105263,0.421052632,0.447368421,0.447368421,0.526315789,0.447368421,0.447368421,0.631578947,0.605263158,0.263157895
MDA,0.657894737,0.763157895,0.657894737,0.736842105,0.657894737,0.894736842,0.631578947,0.763157895,0.763157895,0.789473684,0.921052632,0.789473684,0.789473684,0.868421053,0.710526316,0.315789474
MCO,0.394736842,0.368421053,0.342105263,0.368421053,0.342105263,0.447368421,0.342105263,0.342105263,0.394736842,0.394736842,0.447368421,0.421052632,0.421052632,0.5,0.394736842,0.263157895
MKD,0.447368421,0.526315789,0.421052632,0.526315789,0.447368421,0.631578947,0.552631579,0.684210526,0.710526316,0.736842105,0.868421053,0.763157895,0.736842105,0.815789474,0.631578947,0.447368421
MNG,0.710526316,0.736842105,0.631578947,0.736842105,0.631578947,0.894736842,0.631578947,0.736842105,0.710526316,0.763157895,0.868421053,0.736842105,0.736842105,0.815789474,0.684210526,0.473684211
MNE,0.236842105,0.210526316,0.210526316,0.210526316,0.210526316,0.315789474,0.368421053,0.394736842,0.236842105,0.236842105,0.342105263,0.368421053,0.368421053,0.631578947,0.526315789,0.342105263
MAR,0.763157895,0.736842105,0.684210526,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.763157895,0.815789474,0.894736842,0.789473684,0.789473684,0.868421053,0.710526316,0.5
MOZ,0.736842105,0.736842105,0.657894737,0.736842105,0.657894737,0.894736842,0.631578947,0.710526316,0.763157895,0.763157895,0.868421053,0.736842105,0.736842105,0.868421053,0.684210526,0.315789474
MMR,0.736842105,0.736842105,0.631578947,0.736842105,0.631578947,0.894736842,0.631578947,0.710526316,0.736842105,0.736842105,0.868421053,0.736842105,0.763157895,0.815789474,0.657894737,0.315789474
NAM,0.578947368,0.710526316,0.657894737,0.763157895,0.631578947,0.868421053,0.631578947,0.763157895,0.736842105,0.736842105,0.868421053,0.789473684,0.736842105,0.842105263,0.684210526,0.5
NRU,0.236842105,0.263157895,0.236842105,0.263157895,0.236842105,0.289473684,0.236842105,0.263157895,0.315789474,0.315789474,0.342105263,0.315789474,0.342105263,0.368421053,0.342105263,0.236842105
NPL,0.684210526,0.710526316,0.552631579,0.684210526,0.578947368,0.842105263,0.631578947,0.710526316,0.736842105,0.763157895,0.842105263,0.763157895,0.710526316,0.789473684,0.657894737,0.473684211
NLD,0.710526316,0.763157895,0.657894737,0.763157895,0.657894737,0.894736842,0.631578947,0.736842105,0.736842105,0.763157895,0.894736842,0.763157895,0.763157895,0.842105263,0.684210526,0.342105263
NZL,0.657894737,0.736842105,0.631578947,0.736842105,0.631578947,0.842105263,0.631578947,0.736842105,0.736842105,0.763157895,0.842105263,0.763157895,0.763157895,0.815789474,0.657894737,0.473684211
NIC,0.736842105,0.710526316,0.631578947,0.736842105,0.605263158,0.868421053,0.684210526,0.763157895,0.736842105,0.736842105,0.842105263,0.763157895,0.763157895,0.815789474,0.684210526,0.315789474
NER,0.631578947,0.684210526,0.578947368,0.736842105,0.605263158,0.868421053,0.631578947,0.736842105,0.763157895,0.789473684,0.894736842,0.815789474,0.789473684,0.894736842,0.710526316,0.5
NGA,0.657894737,0.710526316,0.605263158,0.710526316,0.631578947,0.842105263,0.605263158,0.710526316,0.763157895,0.789473684,0.868421053,0.736842105,0.736842105,0.842105263,0.684210526,0.5
NOR,0.710526316,0.763157895,0.657894737,0.763157895,0.657894737,0.894736842,0.657894737,0.763157895,0.736842105,0.763157895,0.894736842,0.789473684,0.789473684,0.842105263,0.684210526,0.5
OMN,0.710526316,0.710526316,0.605263158,0.736842105,0.552631579,0.789473684,0.578947368,0.684210526,0.710526316,0.710526316,0.815789474,0.710526316,0.710526316,0.789473684,0.684210526,0.473684211
PAK,0.736842105,0.736842105,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.763157895,0.763157895,0.789473684,0.868421053,0.789473684,0.763157895,0.842105263,0.710526316,0.342105263
PLW,0.421052632,0.368421053,0.368421053,0.368421053,0.342105263,0.526315789,0.368421053,0.421052632,0.447368421,0.447368421,0.552631579,0.447368421,0.447368421,0.5,0.473684211,0.289473684
PAN,0.710526316,0.763157895,0.631578947,0.763157895,0.657894737,0.894736842,0.657894737,0.736842105,0.736842105,0.763157895,0.868421053,0.789473684,0.789473684,0.868421053,0.684210526,0.315789474
PNG,0.657894737,0.736842105,0.605263158,0.736842105,0.631578947,0.842105263,0.447368421,0.5,0.5,0.5,0.631578947,0.5,0.5,0.789473684,0.684210526,0.5
PRY,0.684210526,0.710526316,0.605263158,0.710526316,0.631578947,0.894736842,0.657894737,0.736842105,0.736842105,0.763157895,0.868421053,0.736842105,0.763157895,0.815789474,0.684210526,0.315789474
PER,0.736842105,0.789473684,0.657894737,0.763157895,0.631578947,0.894736842,0.657894737,0.763157895,0.763157895,0.815789474,0.868421053,0.815789474,0.736842105,0.815789474,0.684210526,0.5
PHL,0.710526316,0.763157895,0.631578947,0.763157895,0.657894737,0.815789474,0.631578947,0.763157895,0.763157895,0.763157895,0.894736842,0.763157895,0.736842105,0.842105263,0.684210526,0.342105263
POL,0.684210526,0.736842105,0.631578947,0.736842105,0.631578947,0.868421053,0.631578947,0.710526316,0.736842105,0.736842105,0.894736842,0.763157895,0.763157895,0.842105263,0.657894737,0.5
PRT,0.684210526,0.710526316,0.578947368,0.710526316,0.631578947,0.868421053,0.605263158,0.710526316,0.710526316,0.763157895,0.842105263,0.736842105,0.736842105,0.815789474,0.657894737,0.473684211
QAT,0.552631579,0.552631579,0.447368421,0.710526316,0.631578947,0.842105263,0.605263158,0.710526316,0.710526316,0.736842105,0.868421053,0.736842105,0.736842105,0.842105263,0.710526316,0.5
ROU,0.631578947,0.684210526,0.578947368,0.684210526,0.578947368,0.736842105,0.578947368,0.710526316,0.684210526,0.710526316,0.763157895,0.684210526,0.684210526,0.710526316,0.631578947,0.473684211
